E.I.N.,DATE,TYPE,Casino,Administrator,Excused,Severity,Doc VS Infraction
Employee 527,9/6/2019,Clean Slate,Location 5,Supervisor 1,,59,Document
Employee 24,10/24/2019,Clean Slate,Location 6,Supervisor 2,,59,Document
Employee 559,8/22/2019,Final Written,Location 6,Supervisor 3,,89,Document
Employee 570,9/16/2019,Verbal,Location 6,Supervisor 4,,29,Document
Employee 655,11/26/2019,Final Written,Location 5,Supervisor 5,,89,Document
Employee 702,1/6/2020,Verbal,Location 8,Supervisor 6,,29,Document
Employee 718,2/17/2020,Final Written,Location 8,Supervisor 7,,89,Document
Employee 633,11/30/2019,Verbal,Location 6,Supervisor 8,,29,Document
Employee 705,1/21/2020,Final Written,Location 8,Supervisor 9,,89,Document
Employee 746,3/2/2020,Verbal,Location 8,Supervisor 10,,29,Document
Employee 662,12/24/2019,Verbal,Location 6,Supervisor 11,,29,Document
Employee 688,1/6/2020,Final Written,Location 8,Supervisor 12,,89,Document
Employee 732,2/10/2020,Verbal,Location 8,Supervisor 13,,29,Document
Employee 744,3/11/2020,Verbal,Location 8,Supervisor 14,,29,Document
Employee 794,3/11/2020,Verbal,Location 8,Supervisor 15,,29,Document
Employee 673,12/15/2019,Verbal,Location 8,Supervisor 16,,29,Document
Employee 718,1/8/2020,Verbal,Location 8,Supervisor 17,,29,Document
Employee 655,11/7/2019,Verbal,Location 5,Supervisor 18,,29,Document
Employee 640,12/22/2019,Verbal,Location 5,Supervisor 19,,29,Document
Employee 24,9/10/2019,Final Written,Location 6,Supervisor 20,,89,Document
Employee 713,12/18/2019,Verbal,Location 8,Supervisor 21,,29,Document
Employee 662,12/31/2019,Final Written,Location 6,Supervisor 22,,89,Document
Employee 589,8/30/2019,Final Written,Location 6,Supervisor 23,,89,Document
Employee 560,9/28/2019,Final Written,Location 6,Supervisor 24,,89,Document
Employee 748,2/16/2020,Final Written,Location 8,Supervisor 25,,89,Document
Employee 663,12/30/2019,Final Written,Location 5,Supervisor 26,,89,Document
Employee 745,3/8/2020,Verbal,Location 8,Supervisor 27,,29,Document
Employee 42,2/17/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 42,2/23/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 42,2/24/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 42,2/25/2020,Absence,Location 1,Supervisor 28,,Minor,Infraction
Employee 143,10/25/2019,Early Out,Location 1,Supervisor 28,,Minor,Infraction
Employee 143,12/10/2019,Early Out,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 143,1/26/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 143,1/27/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
Employee 143,1/28/2020,Absence,Location 1,Supervisor 28,Y,Minor,Infraction
